WICMS REFACTOR AUDIT INVENTORY
===============================
Important: percentages below are audit estimates only. They are based on folder/file/class/json consistency and likely refactor effort. They are not runtime test pass rates.

Overall estimated completion across elements/modules/pages: 75.8%
Elements average: 76.5%
Modules average: 85.1%
Pages average: 70.7%

ELEMENTS
--------
- accordion: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- appearing_button: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- Base: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- button: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- call_to_action: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- carousel: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- columns: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- Components: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- content_box: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- csstabs: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- fb_like_widget: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- feature: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- folded_corner: 80% | Needs refactor | issues: main-file-mismatch | action: rename or add exact main php file
- font: 30% | Needs refactor | issues: main-file-mismatch, no-detectable-class, no-php-file | action: rename or add exact main php file; add/repair primary class; create main php file
- fonts: 30% | Needs refactor | issues: main-file-mismatch, no-detectable-class, no-php-file | action: rename or add exact main php file; add/repair primary class; create main php file
- Forms: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- google_map: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- Grid: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- heading: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- image: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- image_hover: 75% | Needs refactor | issues: main-file-mismatch | action: rename or add exact main php file
- image_mosaic: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- input: 75% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- Javascript: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- latest_fbfeeds: 55% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- like: 80% | Needs refactor | issues: class-folder-mismatch | action: align class name to folder
- link: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- list: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- logo: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- loop: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- menu_button: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- notepad: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- notice: 70% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- paragraph: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- post_carousel: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- price_box: 70% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- progress_bar: 100% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- richtext: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- rows: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- search_engine: 55% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- separator: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- shortcode: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- slider: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- subpages: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- subscribe: 70% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- textbox: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- twitter_lock: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class
- twitter_timeline: 50% | Needs refactor | issues: main-file-mismatch, no-detectable-class | action: rename or add exact main php file; add/repair primary class

MODULES
-------
- 404: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- 404_annomated: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- About_Us: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- alogin: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- annoucement_board: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- App: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- blog: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- blog_media_youtube: 75% | Needs refactor | issues: class-folder-mismatch | action: align class name to folder
- buttoning: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- cart: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- checkout: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- columns: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- Contact_Us: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- debate: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- flipcard: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- footer: 80% | Needs refactor | issues: class-folder-mismatch | action: align class name to folder
- forum: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- fourzerofour: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- header: 65% | Needs refactor | issues: main-file-mismatch, class-folder-mismatch | action: rename or add exact main php file; align class name to folder
- heading: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- info: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- installers: 25% | Needs refactor | issues: main-file-mismatch, no-detectable-class, no-php-file | action: rename or add exact main php file; add/repair primary class; create main php file
- left_sidebar: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- listings: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- loop: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- menu: 25% | Needs refactor | issues: main-file-mismatch, no-detectable-class, no-php-file | action: rename or add exact main php file; add/repair primary class; create main php file
- notfound: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- notfound_annomated: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- notice: 70% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- panel: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- platform: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- policy: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- privacy_policy: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- product: 95% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_inbox: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_msg: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_outbox: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_page: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_sidebar: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- profile_tabs: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- shop: 70% | Needs refactor | issues: missing-module.json | action: add metadata json
- sidebar: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- slider: 65% | Needs refactor | issues: no-detectable-class | action: add/repair primary class
- team_showcase: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- testing: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
- top_head: 90% | Mostly complete | issues: none obvious | action: Low priority: mostly naming/cleanup/passive testing.
